# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
216576 211.5 0.967970633403011
217088 212 0.967970971085798
217600 212.5 0.967971323881821
218112 213 0.967971673745694
218624 213.5 0.967971991316393
219136 214 0.967972284528877
219648 214.5 0.967972587154825
220160 215 0.967972900272619
220672 215.5 0.967973191176164
221184 216 0.967973452536856
221696 216.5 0.967973716259868
222208 217 0.967973999362564
222720 217.5 0.967974273943131
223232 218 0.967974511409299
223744 218.5 0.967974729401841
224256 219 0.967974961457411
224768 219.5 0.967975199558615
225280 220 0.96797541039865
225792 220.5 0.967975594998196
226304 221 0.967975784829443
226816 221.5 0.967975984948004
227328 222 0.967976165806971
227840 222.5 0.967976315837414
228352 223 0.967976462282821
228864 223.5 0.967976624207391
229376 224 0.967976779992987
229888 224.5 0.967976905163969
230400 225 0.967977012118776
230912 225.5 0.967977125891562
231424 226 0.967977243870779
231936 226.5 0.967977344675024
232448 227 0.967977423059821
232960 227.5 0.967977493573102
233472 228 0.967977564288573
233984 228.5 0.967977627783783
234496 229 0.967977680262901
235008 229.5 0.967977729606973
235520 230 0.967977778271292
236032 230.5 0.967977816272642
236544 231 0.967977839630201
237056 231.5 0.967977860622084
237568 232 0.967977888525065
238080 232.5 0.967977911956085
238592 233 0.967977915139971
239104 233.5 0.967977902887742
239616 234 0.967977891315554
240128 234.5 0.967977880291953
240640 235 0.967977855387691
241152 235.5 0.96797781404526
241664 236 0.967977770167631
242176 236.5 0.967977730965027
242688 237 0.967977684937954
243200 237.5 0.9679776194299
243712 238 0.967977539636403
244224 238.5 0.967977459756922
244736 239 0.967977381112429
245248 239.5 0.96797729203901
245760 240 0.967977187567542
246272 240.5 0.967977076314405
246784 241 0.967976966876298
247296 241.5 0.967976856230928
247808 242 0.967976733652402
248320 242.5 0.967976594289212
248832 243 0.967976446487244
249344 243.5 0.967976299469972
249856 244 0.967976148550115
250368 244.5 0.967975986513003
250880 245 0.967975819771745
251392 245.5 0.967975654232319
251904 246 0.967975481119161
252416 246.5 0.967975294865792
252928 247 0.967975103567592
253440 247.5 0.967974909791911
253952 248 0.967974704667572
254464 248.5 0.967974486043738
254976 249 0.967974263319506
255488 249.5 0.96797404319904
256000 250 0.967973820113434
256512 250.5 0.967973583509496
257024 251 0.967973335957146
257536 251.5 0.967973093666255
258048 252 0.967972858895359
258560 252.5 0.967972610994634
259072 253 0.967972339579183
259584 253.5 0.967972062764679
260096 254 0.967971797567659
260608 254.5 0.967971534987018
261120 255 0.967971258017351
261632 255.5 0.967970967682019
262144 256 0.967970678221557
262656 256.5 0.967970394287187
263168 257 0.967970105588762
263680 257.5 0.967969804768065
264192 258 0.967969499184119
264704 258.5 0.967969198704172
265216 259 0.967968900687044
265728 259.5 0.967968596081453
266240 260 0.96796828474629
266752 260.5 0.967967974650308
267264 261 0.967967667804956
267776 261.5 0.967967357043359
268288 262 0.967967038426802
268800 262.5 0.967966717548288
269312 263 0.967966399635298
269824 263.5 0.967966082074448
270336 264 0.967965761001179
270848 264.5 0.967965437088268
271360 265 0.967965112141328
271872 265.5 0.967964787431215
272384 266 0.967964465393959
272896 266.5 0.967964147091064
273408 267 0.967963830149595
273920 267.5 0.967963512303991
274432 268 0.96796319383708
274944 268.5 0.96796287611103
275456 269 0.967962559798654
275968 269.5 0.967962243339163
276480 270 0.967961924189983
276992 270.5 0.967961604326796
277504 271 0.96796129068878
278016 271.5 0.967960986448734
278528 272 0.967960686020073
279040 272.5 0.967960381868951
279552 273 0.967960073407029
280064 273.5 0.967959766618769
280576 274 0.967959464783405
281088 274.5 0.967959162800905
281600 275 0.967958855724301
282112 275.5 0.967958548805338
282624 276 0.967958249741759
283136 276.5 0.967957955331642
283648 277 0.967957656478635
284160 277.5 0.967957352425127
284672 278 0.967957050464165
285184 278.5 0.967956754067803
285696 279 0.967956459631382
286208 279.5 0.967956165482078
286720 280 0.967955876039905
287232 280.5 0.967955593482172
287744 281 0.967955313651382
288256 281.5 0.967955034334146
288768 282 0.967954758629442
289280 282.5 0.967954487620822
289792 283 0.967954218159524
290304 283.5 0.967953948368885
290816 284 0.967953679649751
291328 284.5 0.967953414802146
291840 285 0.967953156742814
292352 285.5 0.967952906288433
292864 286 0.96795266089286
293376 286.5 0.967952418952802
293888 287 0.967952183560838
294400 287.5 0.967951956997025
294912 288 0.967951735027612
295424 288.5 0.967951513762306
295936 289 0.967951297365473
296448 289.5 0.967951090987953
296960 290 0.967950891738882
297472 290.5 0.967950693931023
297984 291 0.967950497867166
298496 291.5 0.967950307817446
299008 292 0.967950124888527
299520 292.5 0.967949946108849
300032 293 0.967949770118094
300544 293.5 0.967949600565452
301056 294 0.967949440971974
301568 294.5 0.967949288249535
302080 295 0.967949136732647
302592 295.5 0.967948988003661
303104 296 0.967948849428714
303616 296.5 0.967948721949432
304128 297 0.967948597764941
304640 297.5 0.967948472327448
305152 298 0.967948350086267
305664 298.5 0.967948235851316
306176 299 0.967948128107122
306688 299.5 0.967948023661088
307200 300 0.96794792349121
307712 300.5 0.967947830446103
308224 301 0.967947743816763
308736 301.5 0.967947660793643
309248 302 0.967947582548215
309760 302.5 0.967947513133567
310272 303 0.967947452127676
310784 303.5 0.967947394373369
311296 304 0.967947337471367
311808 304.5 0.967947284213199
312320 305 0.967947237262764
312832 305.5 0.967947195579049
313344 306 0.967947156414645
313856 306.5 0.967947118803238
314368 307 0.967947085352608
314880 307.5 0.967947059794445
315392 308 0.967947041400834
315904 308.5 0.967947025562357
316416 309 0.967947011661374
316928 309.5 0.967947003974415
317440 310 0.967947003390363
317952 310.5 0.96794700616358
318464 311 0.967947011824995
318976 311.5 0.967947024307825
319488 312 0.96794704374862
320000 312.5 0.967947064436155
320512 313 0.967947084185411
321024 313.5 0.967947109338499
321536 314 0.967947145025072
322048 314.5 0.967947186352206
322560 315 0.967947226186806
323072 315.5 0.967947266391859
323584 316 0.96794731402812
324096 316.5 0.96794737058299
324608 317 0.96794743193965
325120 317.5 0.967947496508739
325632 318 0.967947566989587
326144 318.5 0.967947644326973
326656 319 0.967947724942918
327168 319.5 0.967947805918793
327680 320 0.967947889821662
328192 320.5 0.967947980211003
328704 321 0.967948074135581
329216 321.5 0.967948166318751
329728 322 0.967948259569258
330240 322.5 0.967948361030139
330752 323 0.967948469745668
331264 323.5 0.96794857878661
331776 324 0.967948687021357
332288 324.5 0.967948799455233
332800 325 0.967948918448428
333312 325.5 0.967949040588937
333824 326 0.967949162052342
334336 326.5 0.967949284484304
334848 327 0.967949411868426
335360 327.5 0.967949542600153
335872 328 0.967949672270936
336384 328.5 0.967949802603162
336896 329 0.967949938109625
337408 329.5 0.967950077446833
337920 330 0.96795021684864
338432 330.5 0.967950357126309
338944 331 0.96795050065309
339456 331.5 0.967950646206117
339968 332 0.96795079135308
340480 332.5 0.967950936456503
340992 333 0.967951082581877
341504 333.5 0.967951228040976
342016 334 0.967951371279873
342528 334.5 0.967951514572305
343040 335 0.967951660189339
343552 335.5 0.967951806338211
344064 336 0.96795195082101
344576 336.5 0.967952094727987
345088 337 0.967952240162196
345600 337.5 0.96795238736292
346112 338 0.96795253463104
346624 338.5 0.967952680096152
347136 339 0.967952823904576
347648 339.5 0.967952967472117
348160 340 0.96795311065286
348672 340.5 0.967953252643682
349184 341 0.967953394848926
349696 341.5 0.967953538823792
350208 342 0.967953682482951
350720 342.5 0.967953822761191
351232 343 0.967953961024399
351744 343.5 0.967954100865509
352256 344 0.967954241446349
352768 344.5 0.967954379136698
353280 345 0.967954514732976
353792 345.5 0.967954651888995
354304 346 0.967954790200996
354816 346.5 0.967954927265661
355328 347 0.967955064107394
355840 347.5 0.967955201835228
356352 348 0.967955338082401
356864 348.5 0.967955471454338
357376 349 0.967955603538611
357888 349.5 0.967955735278704
358400 350 0.967955866995687
358912 350.5 0.967955999549049
359424 351 0.967956131685308
359936 351.5 0.967956261070115
360448 352 0.967956388150734
360960 352.5 0.967956513508934
361472 353 0.967956635221266
361984 353.5 0.967956753470578
362496 354 0.967956871721245
363008 354.5 0.967956991204685
363520 355 0.967957110191986
364032 355.5 0.967957227465166
364544 356 0.967957341514607
365056 356.5 0.967957449618963
365568 357 0.967957551486692
366080 357.5 0.967957650285778
366592 358 0.967957748091358
367104 358.5 0.967957844439585
367616 359 0.967957940134224
368128 359.5 0.967958036759526
368640 360 0.96795813174266
369152 360.5 0.967958220031861
369664 361 0.967958300909508
370176 361.5 0.967958378626326
370688 362 0.967958456756709
371200 362.5 0.967958533704378
371712 363 0.967958604555683
372224 363.5 0.967958668222519
372736 364 0.967958728316447
373248 364.5 0.967958785482756
373760 365 0.967958837276939
374272 365.5 0.967958884816176
374784 366 0.967958930157101
375296 366.5 0.967958971792784
375808 367 0.967959008626532
376320 367.5 0.967959040988452
376832 368 0.967959067876198
377344 368.5 0.96795908994223
377856 369 0.967959110232687
378368 369.5 0.967959128690475
378880 370 0.967959141998053
379392 370.5 0.967959148790852
379904 371 0.967959151255696
380416 371.5 0.967959152379074
380928 372 0.967959152337466
381440 372.5 0.967959148706102
381952 373 0.967959140620167
382464 373.5 0.967959128852788
382976 374 0.967959112666913
383488 374.5 0.967959092008649
384000 375 0.9679590695361
384512 375.5 0.967959045566341
385024 376 0.967959016640291
385536 376.5 0.96795898250295
386048 377 0.967958947329074
386560 377.5 0.967958912127834
387072 378 0.967958873798866
387584 378.5 0.967958831884816
388096 379 0.96795878785345
388608 379.5 0.967958739532427
389120 380 0.967958684815474
389632 380.5 0.96795862683679
390144 381 0.967958568062295
390656 381.5 0.967958505672764
391168 382 0.967958438061232
391680 382.5 0.967958368353482
392192 383 0.967958299053961
392704 383.5 0.967958229556084
393216 384 0.967958158196057
393728 384.5 0.967958083022459
394240 385 0.967958003420632
394752 385.5 0.967957922026272
395264 386 0.967957841875328
395776 386.5 0.967957762124836
396288 387 0.967957678683707
396800 387.5 0.967957588944184
397312 388 0.967957494794003
397824 388.5 0.967957399202915
398336 389 0.967957301339019
398848 389.5 0.96795719979097
399360 390 0.967957097989456
399872 390.5 0.967956999398526
400384 391 0.967956901364193
400896 391.5 0.967956801148749
401408 392 0.967956701489357
401920 392.5 0.967956602830316
402432 393 0.967956499259548
402944 393.5 0.967956389209032
403456 394 0.967956279469733
403968 394.5 0.967956173031681
404480 395 0.967956063915849
404992 395.5 0.967955947417535
405504 396 0.967955826050563
406016 396.5 0.967955703803202
406528 397 0.967955580801388
407040 397.5 0.967955454944295
407552 398 0.967955326105961
408064 398.5 0.967955196463977
408576 399 0.967955067170274
409088 399.5 0.967954937463721
409600 400 0.967954806348774
