# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
396288 387 0.0012698343088689
396800 387.5 0.0012698960055392
397312 388 0.00126995752717595
397824 388.5 0.00127001894484647
398336 389 0.00127008032548731
398848 389.5 0.00127014173340853
399360 390 0.001270203229227
399872 390.5 0.00127026487074731
400384 391 0.00127032671305379
400896 391.5 0.00127038880548197
401408 392 0.00127045118916316
401920 392.5 0.00127051389760173
402432 393 0.0012705769582276
402944 393.5 0.00127064039356541
403456 394 0.00127070422215709
403968 394.5 0.00127076845756109
404480 395 0.00127083310391626
404992 395.5 0.00127089815021418
405504 396 0.00127096356795542
406016 396.5 0.00127102931701628
406528 397 0.00127109535915258
407040 397.5 0.00127116166495491
407552 398 0.00127122819805174
408064 398.5 0.00127129489006405
408576 399 0.0012713616442022
409088 399.5 0.00127142837022493
409600 400 0.00127149500035335
