# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
266752 260.5 0.127077358453696
267264 261 0.127087515466795
267776 261.5 0.127097299980928
268288 262 0.127106715888709
268800 262.5 0.127115767646463
269312 263 0.127124459629818
269824 263.5 0.127132795074086
270336 264 0.127140776380964
270848 264.5 0.1271484071544
271360 265 0.127155693070309
271872 265.5 0.127162639922954
272384 266 0.127169251545496
272896 266.5 0.127175530471176
273408 267 0.12718147992173
273920 267.5 0.127187104089221
274432 268 0.127192406813111
274944 268.5 0.127197390951299
275456 269 0.127202058918024
275968 269.5 0.127206412939449
276480 270 0.127210454658836
276992 270.5 0.127214185225789
277504 271 0.127217606202442
278016 271.5 0.127220720144041
278528 272 0.127223529910078
279040 272.5 0.127226037163414
279552 273 0.127228241663295
280064 273.5 0.127230142819301
280576 274 0.127231742608473
281088 274.5 0.12723304617198
281600 275 0.127234057920499
282112 275.5 0.127234777694259
282624 276 0.127235203275517
283136 276.5 0.127235336619126
283648 277 0.127235184241295
284160 277.5 0.127234750130614
284672 278 0.127234031809994
285184 278.5 0.127233026300784
285696 279 0.12723173708031
286208 279.5 0.127230171118144
286720 280 0.127228331182545
287232 280.5 0.127226216434405
287744 281 0.127223830219292
288256 281.5 0.127221181526905
288768 282 0.12721827736833
289280 282.5 0.127215119175588
289792 283 0.127211709719104
290304 283.5 0.127208058856463
290816 284 0.127204178006395
291328 284.5 0.127200072312705
291840 285 0.127195743555177
292352 285.5 0.127191198913915
292864 286 0.127186451049397
293376 286.5 0.127181509590078
293888 287 0.127176378118096
294400 287.5 0.127171061139911
294912 288 0.127165569133122
295424 288.5 0.127159913549648
295936 289 0.127154100284531
296448 289.5 0.12714813210317
296960 290 0.127142015739067
297472 290.5 0.12713576236638
297984 291 0.12712938115106
298496 291.5 0.127122876008493
299008 292 0.127116249880699
299520 292.5 0.127109509488211
300032 293 0.127102663963145
300544 293.5 0.127095720328463
301056 294 0.127088682271503
301568 294.5 0.127081552766331
302080 295 0.127074336216983
302592 295.5 0.127067037882109
303104 296 0.127059662286398
303616 296.5 0.127052212689465
304128 297 0.127044691697861
304640 297.5 0.127037101918216
305152 298 0.127029445835933
305664 298.5 0.127021725256336
306176 299 0.127013941490524
306688 299.5 0.127006096441368
307200 300 0.126998192820433
307712 300.5 0.126990232466913
308224 301 0.126982215029877
308736 301.5 0.126974139635547
309248 302 0.126966007732638
309760 302.5 0.12695782275862
310272 303 0.126949586592342
310784 303.5 0.126941297896471
311296 304 0.126932955066872
311808 304.5 0.126924559715734
312320 305 0.126916115726488
312832 305.5 0.126907625390614
313344 306 0.126899088293508
313856 306.5 0.126890504442097
314368 307 0.126881877037078
314880 307.5 0.126873211127656
315392 308 0.126864510458418
315904 308.5 0.12685577706977
316416 309 0.126847013819035
316928 309.5 0.126838225902112
317440 310 0.126829419450277
317952 310.5 0.126820599702572
318464 311 0.126811771412201
318976 311.5 0.126802940417062
319488 312 0.126794113682279
320000 312.5 0.126785297756943
320512 313 0.126776498149667
321024 313.5 0.126767720768089
321536 314 0.126758973375062
322048 314.5 0.126750264728573
322560 315 0.126741602331712
323072 315.5 0.126732991982451
323584 316 0.126724440024235
324096 316.5 0.126715955220887
324608 317 0.126707547376886
325120 317.5 0.126699224412074
325632 318 0.126690992003311
326144 318.5 0.126682856280746
326656 319 0.126674825604281
327168 319.5 0.126666908851187
327680 320 0.126659112784305
328192 320.5 0.126651442208641
328704 321 0.126643902334241
329216 321.5 0.126636499735378
329728 322 0.126629240756882
330240 322.5 0.126622129969172
330752 323 0.12661517079231
331264 323.5 0.126608366976486
331776 324 0.126601722570401
332288 324.5 0.126595240561815
332800 325 0.126588922402474
333312 325.5 0.126582769155886
333824 326 0.126576782473275
334336 326.5 0.126570963905565
334848 327 0.126565313616143
335360 327.5 0.126559830410993
335872 328 0.126554513001815
336384 328.5 0.126549360723621
336896 329 0.126544372897256
337408 329.5 0.126539547945197
337920 330 0.126534883481546
338432 330.5 0.126530376998529
338944 331 0.126526025924681
339456 331.5 0.126521827097281
339968 332 0.1265177771179
340480 332.5 0.126513873782143
340992 333 0.126510116254389
341504 333.5 0.126506502831096
342016 334 0.126503029494233
342528 334.5 0.126499692368207
343040 335 0.126496490980751
343552 335.5 0.126493426967382
344064 336 0.126490499786537
344576 336.5 0.12648770613317
345088 337 0.126485043864738
345600 337.5 0.126482514141721
346112 338 0.126480119081801
346624 338.5 0.126477859510017
347136 339 0.126475735896956
347648 339.5 0.126473749650982
348160 340 0.126471902557175
348672 340.5 0.126470196428678
349184 341 0.126468634098195
349696 341.5 0.12646721956615
350208 342 0.126465956618102
350720 342.5 0.1264648482803
351232 343 0.126463897910826
351744 343.5 0.126463109876652
352256 344 0.126462488997761
352768 344.5 0.126462040163939
353280 345 0.126461768536016
353792 345.5 0.126461679421243
354304 346 0.126461778083423
354816 346.5 0.126462070275196
355328 347 0.1264625625828
355840 347.5 0.126463261581035
356352 348 0.126464173142394
356864 348.5 0.12646530330056
357376 349 0.12646665911756
357888 349.5 0.126468247629054
358400 350 0.126470074371207
358912 350.5 0.1264721440605
359424 351 0.126474462377226
359936 351.5 0.126477035703958
360448 352 0.126479868904465
360960 352.5 0.126482964410774
361472 353 0.126486323825033
361984 353.5 0.126489949552386
362496 354 0.126493844363099
363008 354.5 0.126498009829063
363520 355 0.126502445485379
364032 355.5 0.12650714917892
364544 356 0.126512118163429
365056 356.5 0.126517350162276
365568 357 0.126522843088194
