# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
245248 119.75 0.00127896639555885
245760 120 0.00127902906393654
246272 120.25 0.00127909071977985
246784 120.5 0.001279151288223
247296 120.75 0.00127921080314583
247808 121 0.00127926932059493
248320 121.25 0.00127932681065569
248832 121.5 0.0012793831576646
249344 121.75 0.00127943824520594
249856 122 0.00127949202664803
250368 122.25 0.00127954453157056
250880 122.5 0.00127959581576191
251392 122.75 0.0012796458872907
251904 123 0.00127969467098778
252416 123.25 0.00127974206356227
252928 123.5 0.00127978802864332
253440 123.75 0.00127983260590607
253952 124 0.00127987581096148
254464 124.25 0.00127991756520026
254976 124.5 0.00127995775925071
255488 124.75 0.00127999635338945
256000 125 0.00128003336764069
256512 125.25 0.00128006879854478
257024 125.5 0.00128010261261495
257536 125.75 0.00128013481666862
258048 126 0.00128016545115034
258560 126.25 0.00128019447469788
259072 126.5 0.00128022172014405
259584 126.75 0.00128024703874327
260096 127 0.00128027047270123
260608 127.25 0.00128029222093924
261120 127.5 0.00128031241754784
261632 127.75 0.00128033097638348
262144 128 0.0012803476643844
262656 128.25 0.00128036230163737
263168 128.5 0.00128037488542375
263680 128.75 0.0012803855603054
264192 129 0.00128039449854885
264704 129.25 0.00128040177958591
265216 129.5 0.00128040732681309
265728 129.75 0.00128041094518405
266240 130 0.00128041245954586
266752 130.25 0.00128041185640348
267264 130.5 0.00128040929135083
267776 130.75 0.00128040494291897
268288 131 0.00128039886487832
268800 131.25 0.00128039099219095
269312 131.5 0.0012803812642845
269824 131.75 0.00128036968646377
270336 132 0.00128035625358575
270848 132.25 0.00128034087379483
271360 132.5 0.00128032345045695
271872 132.75 0.00128030405563642
272384 133 0.0012802829563568
272896 133.25 0.00128026039719499
273408 133.5 0.0012802363528843
273920 133.75 0.00128021054323867
274432 134 0.00128018271724399
274944 134.25 0.00128015290232719
275456 134.5 0.00128012136668586
275968 134.75 0.00128008838082489
276480 135 0.00128005405324018
276992 135.25 0.00128001835288875
277504 135.5 0.00127998119451274
278016 135.75 0.00127994247029997
278528 136 0.00127990207749713
279040 136.25 0.00127986001763091
279552 136.5 0.00127981649093002
280064 136.75 0.00127977183223633
280576 137 0.00127972628026311
281088 137.25 0.00127967977922952
281600 137.5 0.00127963202894487
282112 137.75 0.00127958277778528
282624 138 0.00127953209896328
283136 138.25 0.00127948037512266
283648 138.5 0.00127942799477567
284160 138.75 0.00127937505969056
284672 139 0.00127932137911222
285184 139.25 0.00127926671332415
285696 139.5 0.00127921100362307
286208 139.75 0.00127915441432606
286720 140 0.00127909722298262
287232 140.25 0.00127903966805468
287744 140.5 0.00127898183010725
288256 140.75 0.00127892361713654
288768 141 0.00127886489208581
289280 141.25 0.0012788056455217
289792 141.5 0.00127874603774434
290304 141.75 0.00127868627565
290816 142 0.0012786264836596
291328 142.25 0.00127856669957596
291840 142.5 0.00127850693848959
292352 142.75 0.00127844721428551
292864 143 0.00127838753030915
293376 143.25 0.00127832790955965
293888 143.5 0.0012782684439234
294400 143.75 0.0012782092845808
294912 144 0.00127815057245727
295424 144.25 0.00127809238006343
295936 144.5 0.00127803470153912
296448 144.75 0.00127797747867836
296960 145 0.001277920660924
297472 145.25 0.00127786428863607
297984 145.5 0.00127780852684251
298496 145.75 0.00127775358191035
299008 146 0.00127769955993894
299520 146.25 0.00127764641257556
300032 146.5 0.00127759402359563
300544 146.75 0.00127754233493151
301056 147 0.00127749139534418
301568 147.25 0.00127744132528123
302080 147.5 0.00127739225506855
302592 147.75 0.00127734426303388
303104 148 0.00127729732648
303616 148.25 0.00127725133686801
304128 148.5 0.00127720621019781
304640 148.75 0.00127716200511605
305152 149 0.00127711890065359
305664 149.25 0.00127707701912943
306176 149.5 0.00127703628073887
306688 149.75 0.00127699647691048
307200 150 0.0012769575039558
307712 150.25 0.00127691948969183
308224 150.5 0.00127688265054941
308736 150.75 0.00127684703603453
309248 151 0.00127681246399679
309760 151.25 0.00127677872633712
310272 151.5 0.00127674581503791
310784 151.75 0.00127671389584388
311296 152 0.00127668307395181
311808 152.25 0.00127665325057924
312320 152.5 0.00127662424096625
312832 152.75 0.00127659598907687
313344 153 0.00127656860507956
313856 153.25 0.00127654219170225
314368 153.5 0.00127651668894699
314880 153.75 0.00127649192456944
315392 154 0.0012764677907414
315904 154.25 0.00127644432392796
316416 154.5 0.00127642160513373
316928 154.75 0.00127639962173507
317440 155 0.00127637826302554
317952 155.25 0.00127635744173576
318464 155.5 0.00127633717768044
318976 155.75 0.00127631753529068
319488 156 0.00127629849652448
320000 156.25 0.00127627993546221
320512 156.5 0.00127626173344897
321024 156.75 0.00127624389240004
321536 157 0.00127622650014407
322048 157.25 0.00127620958609659
322560 157.5 0.00127619304604725
323072 157.75 0.00127617673088941
323584 158 0.00127616059223512
324096 158.25 0.00127614471239615
324608 158.5 0.00127612918914601
325120 158.75 0.00127611400857131
325632 159 0.00127609903449925
326144 159.25 0.00127608410875229
326656 159.5 0.00127606916181424
327168 159.75 0.00127605425011878
327680 160 0.00127603950200789
328192 160.25 0.00127602500807998
328704 160.5 0.001276010728029
329216 160.75 0.00127599649065414
329728 161 0.00127598210336324
330240 161.25 0.00127596749142376
330752 161.5 0.00127595275070153
331264 161.75 0.00127593806631219
